Course Code,Course Name,LTP,Credit,Type
CE5101,Chemistry for Environmental Engineers,3-0-2,4,C
CE5102,Physico-Chemical Principles and Processes,3-0-0,3,C
CE5103,Solid and Hazardous Waste Management,3-0-0,3,C
CE51PQ,DE1 (Environmental Elective),3-0-0,3,DE1
CE61PQ,DE1 (Environmental Elective),3-0-0,3,DE1
CE5201,Biological Principles and Processes,3-0-0,3,C
CE5202,Air Pollution and Control,3-0-2,4,C
CE5203,Environmental Impact Assessment,3-0-0,3,C
CE52PQ,DE1II (Environmental Elective),3-0-0,3,DE3
CE62PQ,DE1II (Environmental Elective),3-0-0,3,DE3
CE6198,Summer Internship/Mini Project*,0-0-12,3,SI
CE6199,Project I,0-0-30,15,P1
CE6299,Project II,0-0-42,21,P2
CE5104,Geotechnical Exploration,3-0-2,4,C
CE5105,Advanced Soil Mechanics,3-0-0,3,C
CE5106,Rock Engineering,3-0-2,4,C
CE61PQ,DE1: (Geotechnical Elective),3-0-0,3,DE1
CE5204,Core-4: Advanced Foundation Engineering,3-0-0,3,C
CE5205,Core-5: Computational Geomechanics,3-0-2,4,C
CE5206,Core-6: Fundamentals of Soil Behaviour,3-0-0,3,C
CE62PQ,DE-3: (Geotechnical Elective),3-0-0,3,DE3
CE5107,Engineering Behaviour of Rock,3-0-0,3,C
CE5207,Analysis and Design of Underground Structures,3-0-2,4,C
CE5208,Landslides and Avalanches,3-0-0,3,C
SI,Summer Internship/Mini Project,0-0-12,3,SI
P1,Project 1,0-0-30,15,P1
P2,Project 2,0-0-42,21,P2
CE5111,Urban Transportation Planning,3-0-0,3,Core
CE5112,Pavement Analysis and Design,3-0-0,3,Core
CE5113,Traffic Engineering and Management,3-0-3,4.5,Core
CE5212,Highway Materials,3-0-3,4.5,Core
CE5213,Railway Engineering,3-0-0,3,Core
CE5214,Computer Applications in Transportation Engineering,2-1-0,3,Core
CE5108,Advanced Structural Analysis,3-0-2,4,Core
CE5109,Structural Dynamics,3-0-2,4,Core
CE5110,Theory of Plates and Shells,3-0-0,3,Core
CE5209,Advanced Concrete Design,3-0-2,4,Core
CE5210,Earthquake Resistant Design of Structures,3-0-2,4,Core
CE5211,Stability of Structures,3-0-0,3,Core
CE5181,Advanced Engineering Mathematics,3-0-0,3,Core
CE5182,Civil Engineering Design – I,1-2-0,3,Core
CE51XX,DE1,3-0-0,3,DE1
CE61XX,DE1,3-0-0,3,DE1
CE5183,Civil Engineering Lab-I,0-0-3,1.5,Core
CE5281,Civil Engineering Design – II,1-2-0,3,Core
CE5282,Finite Element Methods,3-0-0,3,Core
CE52XX,DE4,3-0-0,3,DE4
CE62xx,DE4,3-0-0,3,DE4
CE62xx,DE5,3-0-0,3,DE5
CE5283,Civil Engineering Lab-II,0-0-3,1.5,Core
IK6201,IKS ,3-0-0,3,IKS
CS5101,Design and Analysis of Algorithms,3-1-0,4,C
CS5102,Foundations of Computer Systems,3-0-0,3,C
CS61XX,DE1,3-0-0,3,DE1
CS5103,Computing Lab-1,0-1-2,2,C
CS6109,IDE (Drone Data Processing & Analysis),3-0-0,3,IDE
CS5201,Advanced Artificial Intelligence,3-0-0,3,C
CS5203,Natural Language Processing,3-0-0,3,C
CS62XX,DE1II,3-0-0,3,DE3
CS5205,Advanced Artificial Intelligence Lab,0-1-2,2,C
CS6198,Summer Internship/Mini Project*,0-0-12,3,SI
CS6199,Project I,0-0-30,15,P1
CS6299,Project II,0-0-42,21,P2
EC5101,Information Theory and Coding,3-1-0,4,core
EC5102,Advanced Digital Signal Processing,3-0-2,4,core
EC5103,Antenna and Microwave Devices,3-0-2,4,core
EC51XX,DE1,3-0-0,3,DE1
EC61XX,DE1,3-0-0,3,DE1
EC5201,Wireless Communication,3-0-2,4,core
EC5202,Advanced Communication Systems,3-0-2,4,core
EC52XX,DE1II,3-0-0,3,DE3
EC62XX,DE1II,3-0-0,3,DE3
EC6102,Summer Internship/ Mini Project*,0-0-12,3,SI
EC6101,Project I,0-0-30,15,P1
EC6201,Project II,0-0-42,21,P2
EE5101,Computer Aided Power System Analysis,3-0-2,4,Core
EE5102,Advanced Power Electronics Converters,3-0-2,4,Core
EE5103,FACTS and Its Applications,3-0-2,4,Core
EE51PQ,DE1 ,3-0-0,3,DE1
EE61PQ,DE1 ,3-0-0,3,DE1
EE5201,Power System Dynamics, Control and Protection,3-0-2,4,Core
EE5202,Nonlinear Dynamical Systems,3-0-2,4,Core
EE52PQ,DE1II,3-0-0,3,DE3
EE62PQ,DE1II,3-0-0,3,DE3
EE62PQ,DE5,3-0-0,3,DE5
EE6198,Summer internship/Mini Project*,0-0-12,3,SI
EE6199,Project I,0-0-30,15,P1
EE6299,Project II,0-0-42,21,P2
EC5151,Digital VLSI System,3-0-2,4,CORE
EC5152,Embedded System ,3-0-2,4,CORE
EC5161 ,Semiconductor Device Modeling and Simulation ,3-0-2,4,CORE
EC51PQ,DE1,3-0-0,3,DE1
EC61PQ,DE1,3-0-0,3,DE1
XX61PQ,IDE,3-0-0,3,IDE
EC5251,Analog and Mixed Signal Integrated Circuits ,3-0-2,4,CORE
EC5252,High Performance Embedded Computing system ,3-0-2,4,CORE
EC52PQ,DE3,3-0-0,3,DE3
EC62PQ,DE3,3-0-0,3,DE3
EC6198,Summer Internship/ Mini Project* ,0-0-12,3,SI
EC6199,Project I ,0-0-30,15,P1
EC6299,Project II,0-0-42,21,P2
MC5101,Design and Analysis of Algorithms,3-1-2,5,CORE
MC5102,Probability and Statistics,3-0-2,4,CORE
XX51PQ,DE1,3-0-0,3,DE1
MC5201,Advanced Artificial Intelligence,3-1-2,5,CORE
MC5202,Numerical Linear Algebra and Optimization Techniques,3-0-2,4,CORE
XX52PQ,DE4,3-0-0,3,DE4
XX62PQ,DE4,3-0-0,3,DE4
MC6198,Summer Internship Evaluation / Mini Project,0-0-12,3,SI
MC6199,Project I,0-0-30,15,P1
MC6299,Project II,0-0-42,21,P2
ME5101,Advanced Engineering Mathematics,3-1-0,4,Core
ME5103,Finite Element Analysis,3-0-0,3,Core
ME5108,Deformation-based Manufacturing,3-0-0,3,Core
ME61PQ,DE1,3-0-0,3,DE1
ME5109,Manufacturing Lab - I,0-0-3,1.5,Core
ME5201,Advanced Engineering Software Lab,1-0-4,3,Core
ME5203,Measurement and Instrumentation,3-0-0,3,Core
ME5207,Solidification-based Manufacturing,3-1-0,4,Core
ME62PQ,DE1II,3-0-0,3,DE3
ME5208,Manufacturing Lab - II,0-0-3,1.5,Core
ME6198,Summer Internship / Mini Project,0-0-12,3,SI
ME6199,Project I,0-0-30,15,P1
ME6299,Project II,0-0-42,21,P2
ME5102,Theory of Elasticity,3-0-0,3,Core
ME5104,Design Lab - I,0-0-3,1.5,Core
ME5202,Advanced Dynamics & Vibration,3-1-0,4,Core
ME5204,Design Lab - II,0-0-3,1.5,Core
MH5101,Fundamental of Mechatronics,3-0-0,3,Core
MH5102,Mechatronics Lab - 1,0-0-3,1.5,DE3
MH5201,Sensors and Actuators,3-0-0,3,Core
MH5202,Modeling and Simulation of Mechatronic Systems,3-0-0,3,Core
MH5203,Mechatronics Lab - 2,0-0-3,1.5,Core
MH6198,Summer Internship/ Mini Project,0-0-12,3,SI
MH6199,Project 1,0-0-30,15,P1
MH6299,Project 2,0-0-42,21,P2
ME5105,Advanced Fluid Mechanics,3-0-0,3,Core
ME5106,Gas Dynamics and Propulsion,3-0-0,3,Core
ME61XX,DE1,3-0-0,3,DE1
ME5107,Thermo-Fluid Lab-I,0-0-3,1.5,Core
ME5205,Advanced Heat Transfer,3-1-0,4,Core
MEX2XX,DE1II,3-0-0,3,DE3
ME5206,Thermo-Fluid Lab-II,0-0-3,1.5,Core
MM5101,Thermodynamics and Phase Transformation,3-1-0,4,Core
MM5102,Concepts in Materials Science,3-0-0,3,Core
MM5103,Mechanical Behavior of Materials,3-0-2,4,Core
MM5104,Nano-structured Materials,3-0-0,3,Core
MM61PQ,DE1,3-0-0,3,DE1
MM5205,Advanced Polymer Technology,3-0-2,4,Core
MM5206,Advanced Engineering Materials,3-0-2,4,Core
MM62PQ,DE1I,3-0-0,3,DE2
MM6198,Summer Internship/ Mini Project*,0-0-12,3,SI/P
MM6199,Project I,0-0-30,15,P1
MM6299,Project II,0-0-42,21,P2
CH4101,Quantum Chemistry,3-1-0,4,Core
CH4102,Organic Chemistry-I,3-1-0,4,Core
CH4103,Inorganic Chemistry-I,3-1-0,4,Core
CH4104,Principles of Molecular Spectroscopy,3-0-0,3,Core
CH4105,Symmetry & Group Theory,3-0-0,3,Core
CH4106,Organic Chemistry Lab,0-0-6,3,Core
HS4111,Soft Skills for Employability,1-2-0,3,HS1
CH4201,Thermodynamics,3-1-0,4,Core
CH4202,Organic Chemistry-II,3-0-0,3,Core
CH4203,Inorganic Chemistry-II,3-0-0,3,Core
CH4204,Chemical Kinetics,3-0-0,3,Core
CH4205,Modern Methods of Analysis,3-1-0,4,Core
CH4206,Inorganic Chemistry Lab,0-0-6,3,Core
CH5101,Physical Chemistry Lab,0-0-6,3,Core
CH5102,Inorganic Chemistry-III,3-0-0,3,Core
CH5103,Organic Chemistry-III,3-0-0,3,Core
CH5199,Project-I,0-0-12,6,P1
CH51xx,Department Elective 1,3-0-0,3,DE1
CH61xx,Department Elective 1,3-0-0,3,DE1
CH61xx,Interdisciplinary Elective 1,3-0-0,3,IDE1
CH6201,Computer Programming for Chemists,2-0-2,3,Core
CH5299,Project-II,0-0-16,8,P2
CH52xx,Department Elective 2,3-0-0,3,DE2
CH62xx,Department Elective 2,3-0-0,3,DE2
IK52xx,Indian Knowledge System,2-0-0,2,IKS
MA4101,Computer Programming,2-0-4,4,Core
MA4102,Linear Algebra,3-1-0,4,Core
MA4103,Real Analysis,3-1-0,4,Core
MA4104,Algebra,3-1-0,4,Core
MA4105,Ordinary Differential Equations,3-1-0,4,Core
MA4201,Topology,3-0-0,3,Core
MA4202,Numerical Analysis,3-0-2,4,Core
MA4203,Complex Analysis,3-1-0,4,Core
MA4204,Linear Optimization Techniques,3-0-2,4,Core
MA4205,Probability and Statistics,3-0-0,3,Core
MA5101,Measure Theory,3-0-0,3,Core
MA5102,Functional Analysis,3-0-0,3,Core
MA5103,Partial Differential Equations,3-0-0,3,Core
MA51xx,DE1,3-0-0,3,DE1
MA61xx,DE1,3-0-0,3,DE1
MA61xx,IDE1,3-0-0,3,IDE1
MA5199,Project I,0-0-12,6,P1
MA52xx,DE1I,3-0-0,3,DE2
MA62xx,DE1I,3-0-0,3,DE2
MA5299,Project II,0-0-16,8,P2
PH4101,Mathematical Physics-I,3-1-0,4,Core
PH4102,Classical Mechanics,3-1-0,4,Core
PH4103,Quantum Mechanics-I,3-1-0,4,Core
PH4104,Numerical Techniques,2-0-2,3,Core
PH4105,Electronics,3-0-4,5,Core
PH4201,Electrodynamics-I,3-1-0,4,Core
PH4202,Statistical Physics,3-1-0,4,Core
PH4203,Modern Optics,3-0-4,5,Core
PH4204,Introduction to Nuclear and Particle Physics,3-0-0,3,Core
PH42xx,DE1,2-1-0,3,DE1
PH5101,Atomic and Molecular Physics,3-1-0,4,Core
PH5102,Condensed Matter Physics-I,3-0-0,3,Core
PH5103,"Atomic, Molecular and Nuclear Physics Laboratory",0-0-4,2,Core
PH5199,P1,0-0-12,6,P1
PH51xx,DE2,X-X-X,3*,DE2
PH52xx,DE2,X-X-X,3*,DE2
PH61xx,IDE1,3-0-0,3*,IDE1
PH62xx,IDE1,3-0-0,3*,IDE1
PH5210,Condensed Matter Physics Lab,0-0-4,2,Core
PH5299,P2,0-0-16,8,P2
HS41XX,HSS Elective - II,3-0-0,3,HS2
XX4198,Summer Internship*,0-0-12,3,SI
XX4199,Project I,0-0-12,6,P1
CE5199,Project - III,0-0-16,8,P3
CE5299,Project - IV,0-0-36,18,P4
XX5299,P4,0-0-36,18,P4
CS32PQ,B. Tech. Elective - I,3-0-0,3,BTE_I
CS41PQ,B. Tech. Elective – II,3-0-0,3,BTE-II
